
Profile Time: 00:00:00
Profile Date: 12/13/2017
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/13/17 00:00:06  7.20   0.26   0.12   0.007  8.44    11.8  81.6  12.22
12/13/17 00:00:05  7.20   0.26   0.12   0.008  8.44    11.8  82.0  12.23
12/13/17 00:00:07  7.20   0.26   0.12   0.011  8.44    11.8  81.3  12.21
12/13/17 00:00:11  7.20   0.26   0.12   0.014  8.44    11.9  82.0  12.21
12/13/17 00:00:01  7.21   0.26   0.12   0.016  8.43    11.8  85.1  12.22
12/13/17 00:00:10  7.20   0.26   0.12   0.017  8.43    11.9  81.6  12.21
12/13/17 00:00:14  7.20   0.26   0.12   0.018  8.44    12.0  83.4  12.20
12/13/17 00:00:12  7.20   0.26   0.12   0.021  8.44    12.0  82.4  12.20
12/13/17 00:00:13  7.20   0.26   0.12   0.021  8.44    12.0  82.9  12.21
12/13/17 00:00:02  7.20   0.26   0.12   0.026  8.43    11.8  84.2  12.23
12/13/17 00:00:00  7.20   0.26   0.12   0.027  8.44    11.9  86.1  12.22
12/13/17 00:00:04  7.20   0.26   0.12   0.035  8.44    11.8  82.6  12.22
12/13/17 00:00:03  7.20   0.26   0.12   0.037  8.44    11.8  83.3  12.23
12/13/17 00:00:08  7.20   0.26   0.12   0.037  8.44    11.9  81.3  12.21
12/13/17 00:00:09  7.20   0.26   0.12   0.044  8.44    11.9  81.4  12.21
12/13/17 00:00:16  7.20   0.26   0.12   0.044  8.44    12.0  84.4  12.19
12/13/17 00:00:15  7.20   0.26   0.12   0.045  8.44    12.0  84.0  12.21
12/13/17 00:00:17  7.20   0.26   0.12   0.076  8.44    11.9  84.8  12.18
12/13/17 00:00:19  7.20   0.26   0.12   0.098  8.45    11.9  85.4  12.15
12/13/17 00:00:18  7.20   0.26   0.12   0.101  8.45    11.9  85.2  12.16
12/13/17 00:00:20  7.20   0.26   0.12   0.116  8.45    11.9  85.5  12.17
12/13/17 00:00:21  7.20   0.26   0.12   0.143  8.45    11.9  85.5  12.14
12/13/17 00:00:22  7.20   0.26   0.12   0.156  8.45    11.9  85.4  12.11
12/13/17 00:00:23  7.20   0.26   0.12   0.171  8.45    12.0  85.3  12.10
12/13/17 00:00:24  7.20   0.26   0.12   0.194  8.45    12.0  85.0  12.10
12/13/17 00:00:25  7.20   0.26   0.12   0.201  8.45    12.1  84.8  12.10
12/13/17 00:00:26  7.20   0.26   0.12   0.219  8.45    12.2  84.5  12.07
12/13/17 00:00:28  7.20   0.26   0.12   0.242  8.45    12.5  84.0  12.08
