
Profile Time: 00:30:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:07:43   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.48
02/19/18 00:07:44   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.47
02/19/18 00:07:45   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.46
02/19/18 00:07:46   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.47
02/19/18 00:07:30   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.48
02/19/18 00:07:31   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.48
02/19/18 00:07:37   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.47

Profile Time: 02:00:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:10:05   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.60
02/19/18 00:10:06   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.58
02/19/18 00:10:08   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.61
02/19/18 00:10:09   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.61
02/19/18 00:10:13   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.65
02/19/18 00:10:14   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.65
02/19/18 00:10:15   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.62
02/19/18 00:10:16   NaN   0.01   0.01   0.012  7.65     NaN   NaN  11.62
02/19/18 00:10:19   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.55
02/19/18 00:10:20   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.54
02/19/18 00:10:21   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.53
02/19/18 00:10:22   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.55
02/19/18 00:10:23   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.55
02/19/18 00:10:24   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.56
02/19/18 00:10:25   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.53
02/19/18 00:10:28   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.56
02/19/18 00:10:29   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.55
02/19/18 00:10:07   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.61
02/19/18 00:10:10   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.65
02/19/18 00:10:11   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.64
02/19/18 00:10:12   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.66
02/19/18 00:10:17   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.59
02/19/18 00:10:18   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.57
02/19/18 00:10:26   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.56
02/19/18 00:10:27   NaN   0.01   0.01   0.013  7.66     NaN   NaN  11.56

Profile Time: 02:30:00
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:12:48   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:12:50   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:12:52   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.53
02/19/18 00:12:53   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.53
02/19/18 00:12:54   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.53
02/19/18 00:12:55   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.53
02/19/18 00:12:58   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.53
02/19/18 00:13:00   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.54
02/19/18 00:13:01   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.53
02/19/18 00:13:03   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:13:04   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:13:06   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.52
02/19/18 00:13:07   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.52
02/19/18 00:13:08   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:13:10   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.53
02/19/18 00:12:49   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.51
02/19/18 00:12:51   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.52
02/19/18 00:12:56   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.53
02/19/18 00:12:57   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.52
02/19/18 00:12:59   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.53
02/19/18 00:13:02   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.52
02/19/18 00:13:05   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.51
02/19/18 00:13:09   NaN   0.01   0.01   0.012  7.66     NaN   7.1  11.52
02/19/18 00:13:11   NaN   0.01   0.01   0.012  7.66     NaN   NaN  11.52

Profile Time: 03:00:00
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:15:42   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.45
02/19/18 00:15:30   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:15:31   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.47
02/19/18 00:15:32   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.49
02/19/18 00:15:33   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.50
02/19/18 00:15:34   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.51
02/19/18 00:15:35   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.49
02/19/18 00:15:36   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:15:37   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.46
02/19/18 00:15:38   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.45
02/19/18 00:15:39   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.44
02/19/18 00:15:40   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.45
02/19/18 00:15:41   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.45
02/19/18 00:15:43   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.45
02/19/18 00:15:44   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.44
02/19/18 00:15:45   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.44
02/19/18 00:15:46   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.43
02/19/18 00:15:47   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.44
02/19/18 00:15:48   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.45
02/19/18 00:15:49   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:15:50   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.45
02/19/18 00:15:51   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.46
02/19/18 00:15:52   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.47
02/19/18 00:15:53   NaN   0.01   0.01   0.011  7.65     NaN   NaN  11.48
02/19/18 00:15:54   NaN   0.01   0.01   0.011  7.66     NaN   NaN  11.48

Profile Time: 03:30:00
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 00:18:13   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.56
02/19/18 00:18:19   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.59
02/19/18 00:18:20   NaN   0.01   0.01   0.010  7.66     NaN   NaN  11.55
