
Profile Time: 00:00:01
Profile Date: 12/25/2017
Profile Location: jlnewhope Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/25/17 00:01:12   NaN    NaN    NaN   1.138  7.66    23.8  92.0    NaN
12/25/17 00:01:13   NaN    NaN    NaN   1.157  7.66    23.7  91.9    NaN
12/25/17 00:01:14   NaN    NaN    NaN   1.179  7.66    23.6  91.7    NaN
12/25/17 00:01:15   NaN    NaN    NaN   1.196  7.66    23.5  91.5    NaN
12/25/17 00:01:16   NaN    NaN    NaN   1.218  7.66    23.4  91.4    NaN
12/25/17 00:01:17   NaN    NaN    NaN   1.240  7.66    23.3  91.2    NaN
12/25/17 00:01:18   NaN    NaN    NaN   1.262  7.66    23.2  91.1    NaN
12/25/17 00:01:19   NaN    NaN    NaN   1.281  7.66    23.1  91.0    NaN
12/25/17 00:01:20   NaN    NaN    NaN   1.302  7.66    23.0  91.0    NaN
12/25/17 00:01:21   NaN    NaN    NaN   1.322  7.66    23.0  91.0    NaN
12/25/17 00:01:22   NaN    NaN    NaN   1.344  7.66    22.9  91.0    NaN
12/25/17 00:01:23   NaN    NaN    NaN   1.363  7.66    22.9  91.0    NaN
12/25/17 00:01:24   NaN    NaN    NaN   1.385  7.66    22.9  91.1    NaN
12/25/17 00:01:25   NaN    NaN    NaN   1.406  7.66    22.9  91.2    NaN
12/25/17 00:01:26   NaN    NaN    NaN   1.425  7.66    23.0  91.2    NaN
12/25/17 00:01:27   NaN    NaN    NaN   1.445  7.66    23.0  91.3    NaN
12/25/17 00:01:28   NaN    NaN    NaN   1.467  7.66    23.1  91.4    NaN
12/25/17 00:01:29   NaN    NaN    NaN   1.486  7.66    23.1  91.5    NaN
12/25/17 00:01:30   NaN    NaN    NaN   1.505  7.66    23.2  91.5    NaN
12/25/17 00:01:31   NaN    NaN    NaN   1.526  7.66    23.3  91.5    NaN
12/25/17 00:01:32   NaN    NaN    NaN   1.546  7.66    23.4  91.5    NaN
12/25/17 00:01:33   NaN    NaN    NaN   1.565  7.66    23.4  91.5    NaN
12/25/17 00:01:34   NaN    NaN    NaN   1.588  7.66    23.5  91.5    NaN
12/25/17 00:01:35   NaN    NaN    NaN   1.611  7.66    23.6  91.4    NaN
12/25/17 00:01:36   NaN    NaN    NaN   1.629  7.66    23.6  91.4    NaN
12/25/17 00:01:37   NaN    NaN    NaN   1.649  7.66    23.6  91.3    NaN
12/25/17 00:01:38   NaN    NaN    NaN   1.670  7.66    23.6  91.1    NaN
12/25/17 00:01:39   NaN    NaN    NaN   1.691  7.66    23.6  91.0    NaN
12/25/17 00:01:40   NaN    NaN    NaN   1.710  7.66    23.6  90.8    NaN
12/25/17 00:01:41   NaN    NaN    NaN   1.730  7.66    23.6  90.6    NaN
12/25/17 00:01:42   NaN    NaN    NaN   1.752  7.66    23.5  90.3    NaN
12/25/17 00:01:43   NaN    NaN    NaN   1.774  7.66    23.5  89.9    NaN
12/25/17 00:01:44   NaN    NaN    NaN   1.792  7.66    23.4  89.6    NaN
12/25/17 00:01:45   NaN    NaN    NaN   1.813  7.66    23.3  89.1    NaN
12/25/17 00:01:46   NaN    NaN    NaN   1.835  7.66    23.3  88.6    NaN
12/25/17 00:01:47   NaN    NaN    NaN   1.856  7.66    23.2  88.1    NaN
12/25/17 00:01:48   NaN    NaN    NaN   1.874  7.66    23.1  87.5    NaN
12/25/17 00:01:49   NaN    NaN    NaN   1.895  7.66    23.1  86.9    NaN
12/25/17 00:01:50   NaN    NaN    NaN   1.917  7.66    23.0  86.3    NaN
12/25/17 00:01:51   NaN    NaN    NaN   1.937  7.66    23.0  85.7    NaN
12/25/17 00:01:52   NaN    NaN    NaN   1.957  7.66    23.0  85.0    NaN
12/25/17 00:01:53   NaN    NaN    NaN   1.977  7.66    23.0  84.4    NaN
12/25/17 00:01:54   NaN    NaN    NaN   1.998  7.66    23.0  83.7    NaN
12/25/17 00:01:55   NaN    NaN    NaN   2.017  7.66    23.0  83.1    NaN
12/25/17 00:01:56   NaN    NaN    NaN   2.035  7.66    23.1  82.6    NaN
12/25/17 00:01:57   NaN    NaN    NaN   2.055  7.66    23.1  82.1    NaN
12/25/17 00:01:58   NaN    NaN    NaN   2.076  7.66    23.2  81.7    NaN
12/25/17 00:01:59   NaN    NaN    NaN   2.095  7.66    23.3  81.4    NaN
12/25/17 00:02:00   NaN    NaN    NaN   2.115  7.66    23.3  81.3    NaN
12/25/17 00:02:01   NaN    NaN    NaN   2.135  7.66    23.4  81.2    NaN
12/25/17 00:02:02   NaN    NaN    NaN   2.155  7.66    23.4  81.2    NaN
