
Profile Time: 04:31:01
Profile Date: 11/06/2017
Profile Location: jlnewhope Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
11/06/17 04:31:10 17.31   0.22   0.11   0.036  8.50     8.5  23.0  10.38
11/06/17 04:31:13 17.31   0.22   0.11   0.038  8.50     8.4  22.8  10.39
11/06/17 04:31:11 17.31   0.22   0.11   0.039  8.51     8.4  23.0  10.39
11/06/17 04:31:16 17.31   0.22   0.11   0.039  8.50     8.4  22.3  10.40
11/06/17 04:31:17 17.31   0.22   0.11   0.039  8.50     8.4  22.1  10.40
11/06/17 04:31:05 17.31   0.22   0.11   0.040  8.51     8.8  22.3  10.38
11/06/17 04:31:07 17.31   0.22   0.11   0.040  8.50     8.7  22.7  10.38
11/06/17 04:31:12 17.31   0.22   0.11   0.040  8.50     8.4  22.9  10.39
11/06/17 04:31:04 17.31   0.22   0.11   0.042  8.51     8.9  22.0  10.38
11/06/17 04:31:06 17.31   0.22   0.11   0.044  8.51     8.7  22.5  10.38
11/06/17 04:31:09 17.31   0.22   0.11   0.045  8.51     8.5  23.0  10.38
11/06/17 04:31:15 17.31   0.22   0.11   0.046  8.50     8.4  22.5  10.40
11/06/17 04:31:08 17.31   0.22   0.11   0.050  8.51     8.6  22.9  10.38
11/06/17 04:31:18 17.31   0.22   0.11   0.052  8.50     8.5  22.0  10.41
11/06/17 04:31:14 17.31   0.22   0.11   0.054  8.50     8.4  22.7  10.40
11/06/17 04:31:19 17.31   0.22   0.11   0.056  8.50     8.5  21.9  10.41
11/06/17 04:31:20 17.31   0.22   0.11   0.079  8.50     8.6  21.8  10.41
11/06/17 04:31:21 17.31   0.22   0.11   0.084  8.50     8.6  21.7  10.41
11/06/17 04:31:22 17.31   0.22   0.11   0.115  8.50     8.7  21.7  10.41
11/06/17 04:31:23 17.31   0.22   0.11   0.128  8.50     8.8  21.6  10.41
11/06/17 04:31:24 17.31   0.22   0.11   0.144  8.50     8.8  21.6  10.41
11/06/17 04:31:25 17.31   0.22   0.11   0.161  8.51     8.9  21.5  10.42
11/06/17 04:31:26 17.31   0.22   0.11   0.173  8.51     8.9  21.5  10.42
