
Profile Time: 09:12:34
Profile Date: 10/15/2019
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck, VisualCheck
Data Status: , PostCal
10/15/19 09:12:37 23.02   0.22   0.10   0.061  7.55     NaN  19.1   6.48
10/15/19 09:12:47 23.02   0.22   0.10   0.061  7.55     NaN  18.4   6.47
10/15/19 09:12:36 23.02   0.22   0.10   0.062  7.55     NaN  19.1   6.47
10/15/19 09:12:45 23.02   0.22   0.10   0.062  7.55     NaN  18.6   6.47
10/15/19 09:12:40 23.02   0.22   0.10   0.063  7.55     NaN  19.1   6.49
10/15/19 09:12:35 23.02   0.22   0.10   0.064  7.55     NaN  19.1   6.47
10/15/19 09:12:42 23.02   0.22   0.10   0.064  7.55     NaN  18.9   6.48
10/15/19 09:12:43 23.02   0.22   0.10   0.064  7.55     NaN  18.8   6.48
10/15/19 09:12:44 23.02   0.22   0.10   0.064  7.55     NaN  18.7   6.47
10/15/19 09:12:46 23.02   0.22   0.10   0.064  7.55     NaN  18.5   6.47
10/15/19 09:12:49 23.01   0.22   0.10   0.064  7.55     NaN  18.2   6.47
10/15/19 09:12:41 23.02   0.22   0.10   0.065  7.55     NaN  19.0   6.48
10/15/19 09:12:48 23.01   0.22   0.10   0.065  7.55     NaN  18.3   6.47
10/15/19 09:12:39 23.02   0.22   0.10   0.066  7.55     NaN  19.1   6.48
10/15/19 09:12:38 23.02   0.22   0.10   0.067  7.55     NaN  19.1   6.48
10/15/19 09:12:50 23.01   0.22   0.10   0.079  7.55     NaN  18.2   6.47
10/15/19 09:12:51 23.01   0.22   0.10   0.092  7.55     NaN  18.2   6.47
10/15/19 09:12:53 23.01   0.22   0.10   0.093  7.55     NaN  18.2   6.47
10/15/19 09:12:52 23.01   0.22   0.10   0.094  7.55     NaN  18.2   6.47
10/15/19 09:12:54 23.01   0.22   0.10   0.094  7.55     NaN  18.3   6.47
10/15/19 09:13:01 23.02   0.22   0.10   0.101  7.55     NaN  19.7   6.48
10/15/19 09:13:05 23.02   0.22   0.10   0.102  7.55     NaN  20.8   6.48
10/15/19 09:12:55 23.02   0.22   0.10   0.103  7.55     NaN  18.4   6.47
10/15/19 09:12:57 23.02   0.22   0.10   0.103  7.55     NaN  18.8   6.47
10/15/19 09:12:58 23.02   0.22   0.10   0.103  7.55     NaN  19.0   6.47
10/15/19 09:12:59 23.02   0.22   0.10   0.103  7.55     NaN  19.2   6.48
10/15/19 09:13:03 23.02   0.22   0.10   0.103  7.55     NaN  20.3   6.48
10/15/19 09:12:56 23.02   0.22   0.10   0.104  7.55     NaN  18.6   6.47
10/15/19 09:13:00 23.02   0.22   0.10   0.105  7.55     NaN  19.5   6.48
10/15/19 09:13:04 23.02   0.22   0.10   0.105  7.55     NaN  20.5   6.48
10/15/19 09:13:06 23.02   0.22   0.10   0.105  7.55     NaN  21.0   6.48
10/15/19 09:13:02 23.02   0.22   0.10   0.106  7.55     NaN  20.0   6.48

Profile Time: 09:17:33
Profile Date: 10/15/2019
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck, VisualCheck
Data Status: , PostCal
10/15/19 09:17:47 23.03   0.22   0.10   0.038  7.57     NaN  18.4   6.93
10/15/19 09:17:34 23.04   0.22   0.10   0.041  7.58     NaN  15.2   7.00
10/15/19 09:17:40 23.03   0.22   0.10   0.043  7.58     NaN  18.6   6.96
10/15/19 09:17:44 23.03   0.22   0.10   0.044  7.58     NaN  18.9   6.94
10/15/19 09:17:37 23.03   0.22   0.10   0.047  7.58     NaN  17.3   6.98
10/15/19 09:17:43 23.03   0.22   0.10   0.050  7.58     NaN  18.9   6.95
10/15/19 09:17:41 23.03   0.22   0.10   0.056  7.58     NaN  18.8   6.96
10/15/19 09:17:51 23.03   0.22   0.10   0.056  7.57     NaN  17.9   6.91
10/15/19 09:17:46 23.03   0.22   0.10   0.057  7.58     NaN  18.6   6.93
10/15/19 09:17:38 23.03   0.22   0.10   0.058  7.58     NaN  17.8   6.97
10/15/19 09:17:35 23.03   0.22   0.10   0.059  7.58     NaN  15.9   6.99
10/15/19 09:17:50 23.03   0.22   0.10   0.062  7.57     NaN  17.9   6.91
10/15/19 09:17:48 23.03   0.22   0.10   0.065  7.57     NaN  18.2   6.92
10/15/19 09:17:36 23.03   0.22   0.10   0.068  7.58     NaN  16.6   6.98
10/15/19 09:17:39 23.03   0.22   0.10   0.072  7.58     NaN  18.3   6.97
10/15/19 09:17:42 23.03   0.22   0.10   0.073  7.58     NaN  18.9   6.95
10/15/19 09:17:45 23.03   0.22   0.10   0.077  7.58     NaN  18.7   6.94
10/15/19 09:17:49 23.03   0.22   0.10   0.082  7.57     NaN  18.1   6.92
10/15/19 09:17:52 23.03   0.22   0.10   0.087  7.57     NaN  17.8   6.90
10/15/19 09:17:54 23.03   0.22   0.10   0.091  7.57     NaN  17.8   6.90
10/15/19 09:17:53 23.03   0.22   0.10   0.102  7.57     NaN  17.8   6.90
10/15/19 09:17:55 23.03   0.22   0.10   0.112  7.57     NaN  17.9   6.90
10/15/19 09:17:56 23.03   0.22   0.10   0.153  7.57     NaN  17.9   6.90
10/15/19 09:17:58 23.03   0.22   0.10   0.162  7.57     NaN  18.1   6.89
10/15/19 09:17:59 23.04   0.22   0.10   0.167  7.57     NaN  18.2   6.89
10/15/19 09:17:57 23.03   0.22   0.10   0.171  7.57     NaN  18.0   6.89
10/15/19 09:18:00 23.04   0.22   0.10   0.206  7.57     NaN  18.3   6.89
10/15/19 09:18:03 23.04   0.22   0.10   0.225  7.57     NaN  18.6   6.88
10/15/19 09:18:02 23.04   0.22   0.10   0.239  7.57     NaN  18.5   6.88
10/15/19 09:18:04 23.03   0.22   0.10   0.242  7.57     NaN  18.7   6.88
10/15/19 09:18:01 23.04   0.22   0.10   0.244  7.57     NaN  18.4   6.89
10/15/19 09:18:05 23.04   0.22   0.10   0.298  7.57     NaN  18.9   6.89
10/15/19 09:18:08 23.03   0.22   0.10   0.307  7.57     NaN  19.2   6.89
10/15/19 09:18:07 23.03   0.22   0.10   0.321  7.57     NaN  19.1   6.88
10/15/19 09:18:09 23.03   0.22   0.10   0.323  7.57     NaN  19.4   6.88
10/15/19 09:18:06 23.03   0.22   0.10   0.326  7.57     NaN  19.0   6.88
