
Profile Time: 09:14:49
Profile Date: 11/13/2019
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck, VisualCheck
Data Status: , PostCal
11/13/19 09:14:51 13.61   0.19   0.09   0.049  7.99     NaN   NaN   9.84
11/13/19 09:14:52 13.61   0.19   0.09   0.051  7.99     NaN   NaN   9.83
11/13/19 09:14:53 13.61   0.19   0.09   0.052  7.99     NaN   NaN   9.83
11/13/19 09:15:00 13.61   0.19   0.09   0.053  7.99     NaN   NaN   9.80
11/13/19 09:14:59 13.61   0.19   0.09   0.055  7.99     NaN   NaN   9.80
11/13/19 09:14:56 13.61   0.19   0.09   0.070  7.99     NaN   NaN   9.82
11/13/19 09:15:01 13.61   0.19   0.09   0.072  7.99     NaN   NaN   9.79
11/13/19 09:15:03 13.60   0.19   0.09   0.076  7.99     NaN   NaN   9.78
11/13/19 09:14:57 13.61   0.19   0.09   0.078  7.99     NaN   NaN   9.82
11/13/19 09:15:04 13.60   0.19   0.09   0.079  7.99     NaN   NaN   9.78
11/13/19 09:14:50 13.60   0.19   0.09   0.080  8.00     NaN   NaN   9.84
11/13/19 09:15:02 13.60   0.19   0.09   0.081  7.99     NaN   NaN   9.79
11/13/19 09:14:49 13.60   0.19   0.09   0.085  8.00     NaN   NaN   9.84
11/13/19 09:14:54 13.61   0.19   0.09   0.086  7.99     NaN   NaN   9.84
11/13/19 09:14:58 13.61   0.19   0.09   0.089  7.99     NaN   NaN   9.81
11/13/19 09:15:05 13.59   0.19   0.09   0.091  7.99     NaN   NaN   9.77
11/13/19 09:14:55 13.61   0.19   0.09   0.092  7.99     NaN   NaN   9.83
11/13/19 09:15:06 13.59   0.19   0.09   0.104  7.99     NaN   NaN   9.77
11/13/19 09:15:07 13.59   0.19   0.09   0.133  7.99     NaN   NaN   9.77
11/13/19 09:15:08 13.60   0.19   0.09   0.163  7.99     NaN   NaN   9.76
11/13/19 09:15:09 13.60   0.19   0.09   0.180  7.99     NaN   NaN   9.76
11/13/19 09:15:10 13.60   0.19   0.09   0.190  7.99     NaN   NaN   9.75
11/13/19 09:15:11 13.60   0.19   0.09   0.210  7.99     NaN   NaN   9.75
11/13/19 09:15:12 13.60   0.19   0.09   0.217  7.99     NaN   NaN   9.75
11/13/19 09:15:13 13.60   0.19   0.09   0.227  7.99     NaN   NaN   9.74
11/13/19 09:15:14 13.60   0.19   0.09   0.246  7.99     NaN   NaN   9.72
11/13/19 09:15:15 13.60   0.19   0.09   0.257  8.00     NaN   NaN   9.72
11/13/19 09:15:16 13.61   0.19   0.09   0.270  8.00     NaN   NaN   9.72
11/13/19 09:15:17 13.60   0.19   0.09   0.286  8.00     NaN   NaN   9.72
11/13/19 09:15:18 13.60   0.19   0.09   0.320  8.00     NaN   NaN   9.71
11/13/19 09:15:20 13.61   0.19   0.09   0.329  8.00     NaN   NaN   9.71
11/13/19 09:15:19 13.61   0.19   0.09   0.339  8.00     NaN   NaN   9.71
11/13/19 09:15:21 13.61   0.19   0.09   0.346  7.99     NaN   NaN   9.70
11/13/19 09:15:22 13.61   0.19   0.09   0.373  7.99     NaN   NaN   9.70
11/13/19 09:15:23 13.61   0.19   0.09   0.393  8.00     NaN   NaN   9.70
11/13/19 09:15:24 13.61   0.19   0.09   0.423  8.00     NaN   NaN   9.70
11/13/19 09:15:25 13.61   0.19   0.09   0.442  8.00     NaN   NaN   9.70
11/13/19 09:15:26 13.61   0.19   0.09   0.453  8.00     NaN   NaN   9.70
11/13/19 09:15:27 13.61   0.19   0.09   0.468  8.00     NaN   NaN   9.69
11/13/19 09:15:28 13.61   0.19   0.09   0.489  8.00     NaN   NaN   9.70
11/13/19 09:15:29 13.62   0.19   0.09   0.524  8.00     NaN   NaN   9.69
11/13/19 09:15:30 13.62   0.19   0.09   0.547  8.00     NaN   NaN   9.68
11/13/19 09:15:31 13.62   0.19   0.09   0.551  8.00     NaN   NaN   9.68
11/13/19 09:15:32 13.62   0.19   0.09   0.559  8.00     NaN   NaN   9.68
11/13/19 09:15:33 13.62   0.19   0.09   0.572  8.00     NaN   NaN   9.68
11/13/19 09:15:34 13.62   0.19   0.09   0.596  8.00     NaN   NaN   9.68
11/13/19 09:15:35 13.62   0.19   0.09   0.623  8.00     NaN   NaN   9.67
11/13/19 09:15:36 13.62   0.19   0.09   0.635  8.00     NaN   NaN   9.67
11/13/19 09:15:37 13.62   0.19   0.09   0.652  8.00     NaN   NaN   9.66
11/13/19 09:15:38 13.62   0.19   0.09   0.687  8.00     NaN   NaN   9.65
11/13/19 09:15:39 13.62   0.19   0.09   0.713  8.00     NaN   NaN   9.64
11/13/19 09:15:40 13.62   0.19   0.09   0.719  8.00     NaN   NaN   9.64
11/13/19 09:15:41 13.63   0.19   0.09   0.721  8.00     NaN   NaN   9.64
11/13/19 09:15:42 13.63   0.19   0.09   0.745  8.00     NaN   NaN   9.64
