
Profile Time: 00:00:00
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 05:00:57 26.12   0.10   0.05   0.797  8.75    10.1  16.7  10.86
06/01/17 05:00:58 26.12   0.10   0.05   0.817  8.75    10.0  16.7  10.86
06/01/17 05:00:59 26.12   0.10   0.05   0.838  8.75     9.9  16.8  10.87
06/01/17 05:01:00 26.12   0.10   0.05   0.855  8.75     9.9  16.9  10.86
06/01/17 05:01:01 26.12   0.10   0.05   0.875  8.75     9.8  17.0  10.85
06/01/17 05:01:02 26.12   0.10   0.05   0.895  8.75     9.7  17.1  10.85
06/01/17 05:01:03 26.12   0.10   0.05   0.916  8.75     9.6  17.2  10.85
06/01/17 05:01:04 26.12   0.10   0.05   0.933  8.76     9.5  17.4  10.84
06/01/17 05:01:05 26.12   0.10   0.05   0.950  8.76     9.5  17.5  10.84

Profile Time: 05:29:59
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 05:30:02 26.07   0.10   0.05   0.043  8.65     9.1  15.7  10.98
06/01/17 05:30:05 26.05   0.10   0.05   0.043  8.66     9.2  15.3  10.99
06/01/17 05:30:06 26.05   0.10   0.05   0.043  8.66     9.3  15.2  11.00
06/01/17 05:30:12 26.08   0.10   0.05   0.043  8.67     9.4  15.6  11.01
06/01/17 05:29:59 26.08   0.10   0.05   0.044  8.64     8.9  16.4  10.98
06/01/17 05:30:04 26.06   0.10   0.05   0.044  8.65     9.2  15.4  10.99
06/01/17 05:30:08 26.06   0.10   0.05   0.044  8.66     9.3  15.3  10.99
06/01/17 05:30:09 26.07   0.10   0.05   0.044  8.67     9.3  15.3  11.00
06/01/17 05:30:10 26.07   0.10   0.05   0.044  8.67     9.3  15.4  11.00
06/01/17 05:30:00 26.07   0.10   0.05   0.045  8.64     8.9  16.2  10.98
06/01/17 05:30:01 26.07   0.10   0.05   0.045  8.65     9.0  15.9  10.98
06/01/17 05:30:03 26.06   0.10   0.05   0.045  8.65     9.1  15.5  10.99
06/01/17 05:30:11 26.08   0.10   0.05   0.045  8.67     9.4  15.5  11.01
06/01/17 05:30:07 26.06   0.10   0.05   0.046  8.66     9.3  15.2  11.00
06/01/17 05:30:13 26.08   0.10   0.05   0.052  8.68     9.4  15.7  11.02
06/01/17 05:30:14 26.08   0.10   0.05   0.070  8.68     9.4  15.7  11.02
06/01/17 05:30:15 26.08   0.10   0.05   0.086  8.68     9.4  15.8  11.02
06/01/17 05:30:16 26.08   0.10   0.05   0.103  8.68     9.4  15.8  11.02
06/01/17 05:30:17 26.09   0.10   0.05   0.120  8.68     9.4  15.8  11.02
06/01/17 05:30:18 26.08   0.10   0.05   0.138  8.69     9.3  15.7  11.03
06/01/17 05:30:19 26.08   0.10   0.05   0.154  8.69     9.3  15.7  11.03
06/01/17 05:30:20 26.09   0.10   0.05   0.170  8.69     9.3  15.6  11.03
06/01/17 05:30:21 26.09   0.10   0.05   0.190  8.69     9.3  15.5  11.04
06/01/17 05:30:22 26.08   0.10   0.05   0.206  8.69     9.3  15.4  11.04
06/01/17 05:30:23 26.09   0.10   0.05   0.221  8.69     9.3  15.3  11.04
06/01/17 05:30:24 26.09   0.10   0.05   0.237  8.70     9.3  15.2  11.04
06/01/17 05:30:25 26.09   0.10   0.05   0.252  8.70     9.3  15.2  11.04
06/01/17 05:30:26 26.09   0.10   0.05   0.272  8.70     9.3  15.2  11.04
06/01/17 05:30:27 26.09   0.10   0.05   0.285  8.70     9.4  15.2  11.03
06/01/17 05:30:28 26.09   0.10   0.05   0.302  8.70     9.4  15.3  11.04
06/01/17 05:30:29 26.09   0.10   0.05   0.321  8.70     9.4  15.4  11.03
06/01/17 05:30:30 26.09   0.10   0.05   0.338  8.70     9.5  15.6  11.04
06/01/17 05:30:31 26.09   0.10   0.05   0.354  8.71     9.6  15.8  11.04
06/01/17 05:30:32 26.09   0.10   0.05   0.370  8.71     9.6  16.1  11.04
06/01/17 05:30:33 26.09   0.10   0.05   0.391  8.71     9.7  16.4  11.04
