
Profile Time: 01:12:18
Profile Date: 12/01/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/01/18 01:13:30  9.90   0.08   0.04   1.043  7.61    21.1   5.8   9.27
12/01/18 01:13:31  9.88   0.08   0.04   1.060  7.61    21.1   5.7   9.27
12/01/18 01:13:32  9.87   0.08   0.04   1.080  7.61    21.1   5.7   9.27
12/01/18 01:13:33  9.86   0.08   0.04   1.100  7.61    21.2   5.7   9.28
12/01/18 01:13:34  9.85   0.08   0.04   1.118  7.61    21.3   5.7   9.28
12/01/18 01:13:35  9.84   0.08   0.04   1.141  7.61    21.3   5.7   9.28
12/01/18 01:13:36  9.82   0.08   0.04   1.161  7.61    21.4   5.8   9.28
12/01/18 01:13:37  9.81   0.08   0.04   1.176  7.61    21.5   5.9   9.28
12/01/18 01:13:38  9.80   0.08   0.04   1.195  7.61    21.6   6.0   9.28
12/01/18 01:13:39  9.79   0.08   0.04   1.216  7.61    21.7   6.2   9.28
12/01/18 01:13:40  9.78   0.08   0.04   1.232  7.61    21.8   6.4   9.28
12/01/18 01:13:41  9.77   0.08   0.04   1.254  7.61    21.9   6.6   9.28
12/01/18 01:13:42  9.77   0.08   0.04   1.272  7.61    22.1   6.7   9.27
12/01/18 01:13:43  9.77   0.08   0.04   1.290  7.60    22.2   6.8   9.27
12/01/18 01:13:44  9.77   0.08   0.04   1.309  7.60    22.3   6.9   9.27
12/01/18 01:13:45  9.76   0.08   0.04   1.330  7.60    22.4   6.9   9.26
12/01/18 01:13:46  9.75   0.08   0.04   1.349  7.60    22.5   6.9   9.27
12/01/18 01:13:47  9.74   0.08   0.04   1.373  7.60    22.6   6.8   9.27
12/01/18 01:13:48  9.73   0.08   0.04   1.391  7.60    22.7   6.7   9.26
12/01/18 01:13:49  9.72   0.08   0.04   1.411  7.60    22.8   6.6   9.26
12/01/18 01:13:50  9.72   0.08   0.04   1.429  7.60    22.9   6.4   9.25
12/01/18 01:13:51  9.73   0.08   0.04   1.450  7.60    22.9   6.2   9.25
12/01/18 01:13:52  9.73   0.08   0.04   1.471  7.60    23.0   6.0   9.25
12/01/18 01:13:53  9.73   0.08   0.04   1.487  7.59    23.0   5.8   9.26
12/01/18 01:13:54  9.72   0.08   0.04   1.507  7.59    23.1   5.6   9.26
12/01/18 01:13:55  9.71   0.08   0.04   1.527  7.60    23.1   5.5   9.26
