
Profile Time: 00:00:33
Profile Date: 03/25/2019
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/25/19 00:00:34 12.27   0.08   0.04   0.043  8.06    32.8   0.6  11.27
03/25/19 00:00:39 12.27   0.08   0.04   0.043  8.06    32.1   6.1  11.27
03/25/19 00:00:44 12.27   0.08   0.04   0.043  8.06    31.3   8.3  11.27
03/25/19 00:00:37 12.27   0.08   0.04   0.044  8.06    32.4   4.2  11.28
03/25/19 00:00:41 12.27   0.08   0.04   0.044  8.06    31.8   7.5  11.27
03/25/19 00:00:46 12.27   0.08   0.04   0.044  8.06    31.1   8.1  11.27
03/25/19 00:00:48 12.27   0.08   0.04   0.044  8.06    31.0   7.5  11.28
03/25/19 00:00:36 12.27   0.08   0.04   0.045  8.06    32.6   3.0  11.28
03/25/19 00:00:38 12.27   0.08   0.04   0.045  8.06    32.3   5.2  11.28
03/25/19 00:00:42 12.27   0.08   0.04   0.045  8.06    31.6   7.9  11.28
03/25/19 00:00:43 12.27   0.08   0.04   0.045  8.06    31.5   8.2  11.27
03/25/19 00:00:50 12.27   0.08   0.04   0.045  8.06    31.0   6.6  11.29
03/25/19 00:00:35 12.27   0.08   0.04   0.046  8.06    32.7   1.8  11.27
03/25/19 00:00:40 12.27   0.08   0.04   0.046  8.06    31.9   6.9  11.27
03/25/19 00:00:45 12.27   0.08   0.04   0.046  8.06    31.2   8.2  11.27
03/25/19 00:00:47 12.27   0.08   0.04   0.046  8.06    31.0   7.8  11.28
03/25/19 00:00:49 12.27   0.08   0.04   0.046  8.06    31.0   7.1  11.30
03/25/19 00:00:51 12.27   0.08   0.04   0.046  8.06    31.0   6.2  11.30
03/25/19 00:00:52 12.27   0.08   0.04   0.046  8.06    31.0   5.8  11.29
03/25/19 00:00:53 12.27   0.08   0.04   0.055  8.06    31.1   5.4  11.29
03/25/19 00:00:58 12.27   0.08   0.04   0.055  8.06    31.3   4.9  11.27
03/25/19 00:00:55 12.27   0.08   0.04   0.056  8.06    31.2   4.9  11.28
03/25/19 00:00:56 12.27   0.08   0.04   0.056  8.06    31.3   4.8  11.28
03/25/19 00:01:00 12.27   0.08   0.04   0.056  8.05    31.3   5.4  11.28
03/25/19 00:01:03 12.27   0.08   0.04   0.056  8.05    31.1   6.7  11.27
03/25/19 00:01:04 12.27   0.08   0.04   0.056  8.05    31.0   7.2  11.27
03/25/19 00:00:54 12.27   0.08   0.04   0.057  8.06    31.2   5.1  11.28
03/25/19 00:00:57 12.27   0.08   0.04   0.057  8.06    31.3   4.8  11.28
03/25/19 00:00:59 12.27   0.08   0.04   0.057  8.06    31.3   5.1  11.28
03/25/19 00:01:02 12.27   0.08   0.04   0.057  8.06    31.2   6.2  11.27
03/25/19 00:01:01 12.27   0.08   0.04   0.058  8.05    31.2   5.8  11.27

Profile Time: 01:00:57
Profile Date: 03/25/2019
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/25/19 01:01:07 12.63   0.09   0.04   0.062  8.15    30.4  11.0  11.22
03/25/19 01:00:58 12.64   0.09   0.04   0.063  8.15    30.5   0.8  11.22
03/25/19 01:01:00 12.63   0.09   0.04   0.063  8.15    30.6   4.5  11.22
03/25/19 01:01:01 12.63   0.09   0.04   0.063  8.15    30.6   6.2  11.22
03/25/19 01:01:03 12.63   0.09   0.04   0.063  8.15    30.6   8.9  11.22
03/25/19 01:01:04 12.63   0.09   0.04   0.063  8.15    30.6   9.9  11.22
03/25/19 01:01:09 12.63   0.09   0.04   0.063  8.15    30.3  10.5  11.22
03/25/19 01:01:10 12.63   0.09   0.04   0.063  8.15    30.2  10.0  11.22
03/25/19 01:01:11 12.63   0.09   0.04   0.063  8.15    30.1   9.4  11.22
03/25/19 01:01:12 12.64   0.09   0.04   0.063  8.15    30.1   8.8  11.21
03/25/19 01:00:59 12.63   0.09   0.04   0.064  8.15    30.6   2.7  11.21
03/25/19 01:01:02 12.63   0.09   0.04   0.064  8.15    30.6   7.7  11.22
03/25/19 01:01:06 12.63   0.09   0.04   0.064  8.15    30.5  10.9  11.22
03/25/19 01:01:08 12.63   0.09   0.04   0.064  8.15    30.3  10.9  11.22
03/25/19 01:01:05 12.64   0.09   0.04   0.065  8.15    30.5  10.5  11.22
03/25/19 01:01:14 12.64   0.09   0.04   0.065  8.15    30.1   7.5  11.21
03/25/19 01:01:13 12.64   0.09   0.04   0.066  8.15    30.1   8.1  11.22
03/25/19 01:01:15 12.63   0.09   0.04   0.066  8.15    30.1   6.9  11.22
