
Profile Time: 09:00:01
Profile Date: 04/03/2019
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
04/03/19 09:00:08 13.22   0.14   0.06   0.059  8.85    17.1   7.4  10.10
04/03/19 09:00:12 13.21   0.14   0.06   0.060  8.86    17.4   7.8  10.14
04/03/19 09:00:02 13.21   0.14   0.06   0.061  8.85    17.2   5.5  10.09
04/03/19 09:00:05 13.21   0.14   0.06   0.061  8.84    17.1   6.6  10.09
04/03/19 09:00:10 13.22   0.14   0.06   0.062  8.86    17.2   7.6  10.12
04/03/19 09:00:14 13.21   0.14   0.06   0.062  8.86    17.5   7.9  10.12
04/03/19 09:00:03 13.22   0.14   0.06   0.063  8.86    17.2   5.9  10.09
04/03/19 09:00:06 13.21   0.14   0.06   0.063  8.85    17.1   6.9  10.09
04/03/19 09:00:16 13.21   0.14   0.06   0.063  8.87    17.7   8.1  10.10
04/03/19 09:00:09 13.22   0.14   0.06   0.064  8.85    17.2   7.5  10.11
04/03/19 09:00:04 13.22   0.14   0.06   0.065  8.86    17.1   6.2  10.08
04/03/19 09:00:07 13.22   0.14   0.06   0.065  8.86    17.1   7.1  10.10
04/03/19 09:00:15 13.21   0.14   0.06   0.065  8.86    17.6   8.0  10.11
04/03/19 09:00:11 13.22   0.14   0.06   0.066  8.85    17.3   7.7  10.13
04/03/19 09:00:13 13.21   0.14   0.06   0.066  8.86    17.5   7.9  10.13
04/03/19 09:00:17 13.20   0.14   0.06   0.071  8.86    17.7   8.2  10.12
04/03/19 09:00:18 13.20   0.14   0.06   0.087  8.85    17.7   8.4  10.11
04/03/19 09:00:19 13.21   0.14   0.06   0.100  8.87    17.8   8.5  10.10
04/03/19 09:00:20 13.22   0.14   0.06   0.122  8.86    17.8   8.7  10.09
04/03/19 09:00:21 13.22   0.14   0.06   0.137  8.86    17.8   8.9  10.09
04/03/19 09:00:22 13.22   0.14   0.06   0.153  8.87    17.8   9.1  10.09
04/03/19 09:00:23 13.22   0.14   0.06   0.167  8.86    17.8   9.3  10.08
04/03/19 09:00:24 13.21   0.14   0.06   0.183  8.85    17.8   9.5  10.08
04/03/19 09:00:25 13.21   0.14   0.06   0.200  8.86    17.9   9.7  10.09
04/03/19 09:00:26 13.20   0.14   0.06   0.213  8.86    17.9   9.8  10.11
04/03/19 09:00:27 13.18   0.14   0.06   0.228  8.86    18.0  10.0  10.11
04/03/19 09:00:28 13.16   0.14   0.06   0.245  8.86    18.0  10.0  10.14
04/03/19 09:00:29 13.15   0.14   0.06   0.260  8.85    18.1  10.1  10.13
04/03/19 09:00:30 13.16   0.14   0.06   0.274  8.86    18.2  10.1  10.13
04/03/19 09:00:31 13.17   0.14   0.06   0.289  8.85    18.2  10.0  10.12
04/03/19 09:00:32 13.16   0.14   0.06   0.306  8.86    18.3  10.0  10.10
04/03/19 09:00:33 13.16   0.14   0.06   0.321  8.85    18.4   9.8  10.08
04/03/19 09:00:34 13.15   0.14   0.06   0.339  8.85    18.5   9.7  10.07
04/03/19 09:00:35 13.15   0.14   0.06   0.357  8.85    18.5   9.6  10.08
04/03/19 09:00:36 13.14   0.14   0.06   0.378  8.84    18.6   9.4  10.08
04/03/19 09:00:37 13.13   0.14   0.06   0.393  8.84    18.6   9.3  10.07
04/03/19 09:00:38 13.10   0.14   0.06   0.411  8.83    18.6   9.1  10.08
04/03/19 09:00:39 13.09   0.14   0.06   0.431  8.84    18.6   9.0  10.09
04/03/19 09:00:40 13.08   0.14   0.06   0.450  8.86    18.7   8.9  10.10
04/03/19 09:00:41 13.07   0.14   0.06   0.467  8.86    18.6   8.9  10.09
04/03/19 09:00:42 13.07   0.14   0.06   0.480  8.86    18.6   8.8  10.09
04/03/19 09:00:43 13.06   0.14   0.06   0.501  8.87    18.6   8.8  10.10
04/03/19 09:00:44 13.03   0.14   0.06   0.521  8.86    18.6   8.8  10.10
04/03/19 09:00:45 13.01   0.14   0.06   0.538  8.86    18.6   8.8  10.11
04/03/19 09:00:46 12.99   0.14   0.06   0.559  8.86    18.6   8.8  10.11
04/03/19 09:00:47 12.96   0.14   0.06   0.579  8.86    18.6   8.8  10.11
04/03/19 09:00:48 12.95   0.14   0.06   0.600  8.85    18.6   8.8  10.10
04/03/19 09:00:49 12.93   0.14   0.06   0.618  8.85    18.6   8.8  10.10
04/03/19 09:00:50 12.90   0.14   0.06   0.638  8.85    18.7   8.7  10.10
04/03/19 09:00:51 12.88   0.14   0.06   0.656  8.84    18.7   8.6  10.10
04/03/19 09:00:52 12.87   0.14   0.06   0.674  8.85    18.8   8.5  10.10
04/03/19 09:00:53 12.90   0.14   0.06   0.693  8.84    18.8   8.5  10.07
04/03/19 09:00:54 12.98   0.14   0.06   0.712  8.83    18.8   8.4  10.03
04/03/19 09:00:55 13.02   0.14   0.06   0.729  8.83    18.9   8.3  10.01
04/03/19 09:00:56 13.01   0.14   0.06   0.754  8.83    18.9   8.2  10.00
04/03/19 09:00:57 12.97   0.14   0.06   0.774  8.83    18.9   8.2  10.01
04/03/19 09:00:58 12.93   0.14   0.06   0.792  8.83    18.9   8.2  10.01
04/03/19 09:00:59 12.90   0.14   0.06   0.811  8.84    18.9   8.3  10.02
04/03/19 09:01:00 12.88   0.14   0.06   0.829  8.84    18.9   8.4  10.01
04/03/19 09:01:01 12.87   0.14   0.06   0.848  8.83    18.9   8.6  10.00
04/03/19 09:01:02 12.86   0.14   0.06   0.866  8.83    18.8   8.7  10.00
04/03/19 09:01:03 12.85   0.14   0.06   0.886  8.84    18.8   8.9  10.00
04/03/19 09:01:04 12.85   0.14   0.06   0.904  8.84    18.8   9.1  10.00
04/03/19 09:01:05 12.84   0.14   0.06   0.923  8.85    18.8   9.3  10.00
04/03/19 09:01:06 12.84   0.14   0.06   0.945  8.84    18.7   9.4  10.01
04/03/19 09:01:07 12.83   0.14   0.06   0.963  8.85    18.7   9.5  10.01
04/03/19 09:01:08 12.82   0.14   0.06   0.985  8.86    18.7   9.5  10.01
04/03/19 09:01:09 12.82   0.14   0.06   1.004  8.86    18.7   9.5  10.00
04/03/19 09:01:10 12.81   0.14   0.06   1.022  8.86    18.7   9.4  10.00
04/03/19 09:01:11 12.81   0.14   0.06   1.041  8.86    18.7   9.2   9.99
04/03/19 09:01:12 12.81   0.14   0.06   1.058  8.87    18.7   9.0   9.98
04/03/19 09:01:13 12.80   0.14   0.06   1.078  8.86    18.7   8.8   9.98
04/03/19 09:01:14 12.80   0.14   0.06   1.094  8.86    18.8   8.5   9.99
04/03/19 09:01:15 12.80   0.14   0.06   1.115  8.85    18.8   8.2   9.98
04/03/19 09:01:16 12.80   0.14   0.06   1.136  8.85    18.8   8.0   9.97
04/03/19 09:01:17 12.81   0.14   0.06   1.156  8.85    18.8   7.7   9.97
04/03/19 09:01:18 12.80   0.14   0.06   1.174  8.85    18.9   7.6   9.97
04/03/19 09:01:19 12.80   0.14   0.06   1.194  8.84    18.9   7.4   9.97
04/03/19 09:01:20 12.80   0.14   0.06   1.212  8.85    19.0   7.3   9.97
04/03/19 09:01:21 12.79   0.14   0.06   1.237  8.85    19.0   7.2   9.96
04/03/19 09:01:22 12.79   0.14   0.06   1.256  8.84    19.1   7.2   9.95
04/03/19 09:01:23 12.79   0.14   0.06   1.272  8.84    19.1   7.3   9.95
04/03/19 09:01:24 12.79   0.14   0.06   1.290  8.84    19.1   7.3   9.95
04/03/19 09:01:25 12.79   0.14   0.06   1.312  8.84    19.1   7.4   9.94
04/03/19 09:01:26 12.79   0.14   0.06   1.329  8.84    19.1   7.5   9.94
04/03/19 09:01:27 12.79   0.14   0.06   1.348  8.84    19.1   7.6   9.94
04/03/19 09:01:28 12.79   0.14   0.06   1.366  8.83    19.1   7.7   9.93
