
Profile Time: 00:00:01
Profile Date: 07/04/2018
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck, VisualCheck
Data Status: , PostCal
07/04/18 00:00:03 32.83   0.25   0.12   0.053  9.25     3.2   8.6    NaN
07/04/18 00:00:12 32.84   0.25   0.12   0.053  9.25     3.1  12.0    NaN
07/04/18 00:00:13 32.84   0.25   0.12   0.053  9.25     3.1  12.1    NaN
07/04/18 00:00:17 32.85   0.25   0.12   0.053  9.26     3.1  12.2    NaN
07/04/18 00:00:04 32.84   0.25   0.12   0.054  9.25     3.2   9.2    NaN
07/04/18 00:00:05 32.84   0.25   0.12   0.054  9.25     3.2   9.8    NaN
07/04/18 00:00:06 32.84   0.25   0.12   0.054  9.25     3.2  10.3    NaN
07/04/18 00:00:07 32.84   0.25   0.12   0.054  9.25     3.2  10.8    NaN
07/04/18 00:00:08 32.84   0.25   0.12   0.054  9.25     3.2  11.1    NaN
07/04/18 00:00:09 32.84   0.25   0.12   0.054  9.25     3.1  11.5    NaN
07/04/18 00:00:10 32.84   0.25   0.12   0.054  9.25     3.1  11.7    NaN
07/04/18 00:00:11 32.84   0.25   0.12   0.054  9.25     3.1  11.9    NaN
07/04/18 00:00:14 32.84   0.25   0.12   0.054  9.25     3.1  12.1    NaN
07/04/18 00:00:15 32.84   0.25   0.12   0.054  9.26     3.1  12.1    NaN
07/04/18 00:00:16 32.84   0.25   0.12   0.054  9.26     3.1  12.2    NaN
07/04/18 00:00:18 32.85   0.25   0.12   0.057  9.26     3.2  12.2    NaN
07/04/18 00:00:19 32.85   0.25   0.12   0.076  9.26     3.2  12.2    NaN
07/04/18 00:00:20 32.85   0.25   0.12   0.095  9.25     3.3  12.2    NaN
07/04/18 00:00:21 32.85   0.25   0.12   0.108  9.25     3.4  12.3    NaN
07/04/18 00:00:22 32.86   0.25   0.12   0.122  9.25     3.5  12.3    NaN
07/04/18 00:00:23 32.86   0.25   0.12   0.141  9.24     3.6  12.4    NaN
07/04/18 00:00:24 32.86   0.25   0.12   0.156  9.24     3.6  12.4    NaN
07/04/18 00:00:25 32.85   0.25   0.12   0.172  9.25     3.7  12.5    NaN
07/04/18 00:00:26 32.85   0.25   0.12   0.187  9.25     3.8  12.5    NaN
07/04/18 00:00:27 32.85   0.25   0.12   0.201  9.25     3.9  12.5    NaN
07/04/18 00:00:28 32.85   0.26   0.12   0.216  9.25     3.9  12.5    NaN
07/04/18 00:00:29 32.85   0.26   0.12   0.232  9.26     3.9  12.5    NaN
07/04/18 00:00:30 32.85   0.26   0.12   0.248  9.26     3.9  12.4    NaN
07/04/18 00:00:31 32.85   0.26   0.12   0.261  9.26     3.9  12.4    NaN
07/04/18 00:00:32 32.86   0.26   0.12   0.275  9.26     3.9  12.3    NaN
07/04/18 00:00:33 32.86   0.26   0.12   0.288  9.26     3.8  12.3    NaN
07/04/18 00:00:34 32.86   0.26   0.12   0.304  9.26     3.7  12.3    NaN
07/04/18 00:00:35 32.86   0.26   0.12   0.320  9.26     3.6  12.2    NaN
07/04/18 00:00:36 32.87   0.26   0.12   0.339  9.26     3.5  12.2    NaN
07/04/18 00:00:37 32.87   0.26   0.12   0.359  9.26     3.4  12.2    NaN
07/04/18 00:00:38 32.87   0.26   0.12   0.374  9.26     3.3  12.2    NaN
07/04/18 00:00:39 32.87   0.26   0.12   0.389  9.26     3.3  12.2    NaN
07/04/18 00:00:40 32.87   0.26   0.12   0.405  9.26     3.2  12.2    NaN
07/04/18 00:00:41 32.87   0.26   0.12   0.422  9.27     3.2  12.2    NaN
07/04/18 00:00:42 32.87   0.26   0.12   0.443  9.27     3.2  12.3    NaN
07/04/18 00:00:43 32.87   0.26   0.12   0.460  9.27     3.2  12.3    NaN
07/04/18 00:00:44 32.87   0.26   0.12   0.478  9.27     3.2  12.4    NaN
07/04/18 00:00:45 32.87   0.26   0.12   0.495  9.27     3.2  12.5    NaN
07/04/18 00:00:46 32.88   0.26   0.12   0.515  9.27     3.2  12.5    NaN
07/04/18 00:00:47 32.88   0.26   0.12   0.534  9.27     3.3  12.6    NaN
07/04/18 00:00:48 32.88   0.26   0.12   0.551  9.27     3.3  12.7    NaN
07/04/18 00:00:49 32.88   0.26   0.12   0.581  9.27     3.3  12.7    NaN
07/04/18 00:00:50 32.88   0.26   0.12   0.594  9.28     3.4  12.8    NaN
07/04/18 00:00:51 32.88   0.26   0.12   0.612  9.28     3.4  12.8    NaN
07/04/18 00:00:52 32.88   0.26   0.12   0.632  9.28     3.4  12.8    NaN
07/04/18 00:00:53 32.88   0.26   0.12   0.651  9.28     3.4  12.8    NaN
07/04/18 00:00:54 32.88   0.26   0.12   0.672  9.28     3.3  12.8    NaN
07/04/18 00:00:55 32.87   0.26   0.12   0.691  9.28     3.3  12.7    NaN
07/04/18 00:00:56 32.87   0.26   0.12   0.707  9.28     3.3  12.6    NaN
07/04/18 00:00:57 32.87   0.26   0.12   0.728  9.28     3.3  12.5    NaN
07/04/18 00:00:58 32.87   0.26   0.12   0.746  9.28     3.2  12.4    NaN
07/04/18 00:00:59 32.87   0.26   0.12   0.768  9.28     3.2  12.3    NaN
07/04/18 00:01:00 32.87   0.26   0.12   0.788  9.28     3.2  12.2    NaN
07/04/18 00:01:01 32.87   0.26   0.12   0.809  9.28     3.2  12.1    NaN
07/04/18 00:01:02 32.87   0.26   0.12   0.827  9.28     3.2  12.1    NaN
07/04/18 00:01:03 32.87   0.26   0.12   0.843  9.28     3.2  12.0    NaN
07/04/18 00:01:04 32.87   0.26   0.12   0.862  9.28     3.2  12.1    NaN
07/04/18 00:01:05 32.87   0.26   0.12   0.883  9.28     3.2  12.2    NaN
07/04/18 00:01:06 32.88   0.26   0.12   0.901  9.28     3.2  12.3    NaN
07/04/18 00:01:07 32.88   0.26   0.12   0.917  9.28     3.3  12.4    NaN
07/04/18 00:01:08 32.88   0.26   0.12   0.940  9.28     3.3  12.6    NaN
07/04/18 00:01:09 32.88   0.26   0.12   0.963  9.28     3.3  12.9    NaN
07/04/18 00:01:10 32.87   0.26   0.12   0.980  9.28     3.4  13.1    NaN
07/04/18 00:01:11 32.87   0.26   0.12   1.003  9.28     3.4  13.3    NaN
07/04/18 00:01:12 32.87   0.26   0.12   1.020  9.28     3.4  13.5    NaN
07/04/18 00:01:13 32.87   0.26   0.12   1.039  9.28     3.5  13.7    NaN
07/04/18 00:01:14 32.87   0.26   0.12   1.056  9.28     3.5  13.9    NaN
07/04/18 00:01:15 32.86   0.26   0.12   1.076  9.28     3.5  14.0    NaN
07/04/18 00:01:16 32.86   0.26   0.12   1.099  9.27     3.5  14.1    NaN
07/04/18 00:01:17 32.86   0.26   0.12   1.114  9.27     3.5  14.1    NaN
07/04/18 00:01:18 32.85   0.26   0.12   1.134  9.27     3.5  14.1    NaN
07/04/18 00:01:19 32.82   0.26   0.12   1.153  9.27     3.5  14.1    NaN
07/04/18 00:01:20 32.79   0.26   0.12   1.169  9.27     3.5  14.0    NaN
07/04/18 00:01:21 32.76   0.26   0.12   1.197  9.27     3.5  14.0    NaN
07/04/18 00:01:22 32.73   0.26   0.12   1.213  9.27     3.5  13.9    NaN
07/04/18 00:01:23 32.72   0.26   0.12   1.232  9.27     3.5  13.9    NaN
07/04/18 00:01:24 32.70   0.26   0.12   1.252  9.27     3.4  13.9    NaN
07/04/18 00:01:25 32.69   0.26   0.12   1.274  9.27     3.4  13.8    NaN
07/04/18 00:01:26 32.69   0.26   0.12   1.290  9.27     3.4  13.9    NaN
07/04/18 00:01:27 32.69   0.26   0.12   1.313  9.27     3.4  13.9    NaN
07/04/18 00:01:28 32.68   0.26   0.12   1.329  9.27     3.3  13.9    NaN
07/04/18 00:01:29 32.67   0.26   0.12   1.348  9.27     3.3  14.0    NaN
07/04/18 00:01:30 32.67   0.26   0.12   1.365  9.27     3.3  14.0    NaN
07/04/18 00:01:31 32.67   0.26   0.12   1.385  9.26     3.3  14.0    NaN
07/04/18 00:01:32 32.67   0.26   0.12   1.404  9.26     3.3  14.0    NaN
07/04/18 00:01:33 32.68   0.26   0.12   1.422  9.26     3.3  13.9    NaN
07/04/18 00:01:34 32.68   0.26   0.12   1.443  9.26     3.3  13.9    NaN
07/04/18 00:01:35 32.67   0.26   0.12   1.467  9.26     3.4  13.8    NaN
07/04/18 00:01:36 32.67   0.26   0.12   1.483  9.26     3.4  13.7    NaN
07/04/18 00:01:37 32.66   0.26   0.12   1.502  9.26     3.4  13.5    NaN
07/04/18 00:01:38 32.66   0.26   0.12   1.526  9.26     3.4  13.4    NaN
07/04/18 00:01:39 32.66   0.26   0.12   1.542  9.26     3.5  13.3    NaN
07/04/18 00:01:40 32.66   0.26   0.12   1.561  9.26     3.5  13.2    NaN
07/04/18 00:01:41 32.66   0.26   0.12   1.581  9.26     3.5  13.2    NaN
07/04/18 00:01:42 32.65   0.26   0.12   1.599  9.26     3.6  13.2    NaN
07/04/18 00:01:43 32.65   0.26   0.12   1.614  9.26     3.6  13.3    NaN
07/04/18 00:01:44 32.64   0.26   0.12   1.633  9.26     3.6  13.4    NaN
07/04/18 00:01:45 32.63   0.26   0.12   1.654  9.26     3.6  13.5    NaN
07/04/18 00:01:46 32.63   0.26   0.12   1.676  9.25     3.7  13.7    NaN
07/04/18 00:01:47 32.60   0.26   0.12   1.690  9.25     3.7  14.0    NaN
07/04/18 00:01:48 32.56   0.26   0.12   1.714  9.25     3.7  14.2    NaN
07/04/18 00:01:49 32.50   0.26   0.12   1.731  9.23     3.7  14.5    NaN
07/04/18 00:01:50 32.45   0.26   0.12   1.748  9.22     3.7  14.7    NaN
07/04/18 00:01:51 32.44   0.26   0.12   1.769  9.19     3.8  15.0    NaN
07/04/18 00:01:52 32.44   0.26   0.12   1.786  9.18     3.8  15.2    NaN
07/04/18 00:01:53 32.38   0.26   0.12   1.808  9.17     3.8  15.4    NaN
07/04/18 00:01:54 32.31   0.26   0.12   1.831  9.16     3.8  15.5    NaN
07/04/18 00:01:55 32.27   0.26   0.12   1.845  9.15     3.9  15.7    NaN
07/04/18 00:01:56 32.28   0.26   0.12   1.867  9.14     3.9  15.7    NaN
07/04/18 00:01:57 32.26   0.26   0.12   1.887  9.13     3.9  15.8    NaN
07/04/18 00:01:58 32.24   0.26   0.12   1.900  9.12     3.9  15.8    NaN
07/04/18 00:01:59 32.24   0.26   0.12   1.922  9.11     4.0  15.9    NaN
07/04/18 00:02:00 32.25   0.26   0.12   1.943  9.09     4.0  15.9    NaN
07/04/18 00:02:01 32.18   0.26   0.12   1.962  9.07     4.0  15.9    NaN
07/04/18 00:02:02 32.13   0.26   0.12   1.986  9.04     4.0  15.9    NaN
07/04/18 00:02:03 32.05   0.26   0.12   2.006  9.02     4.1  15.9    NaN
07/04/18 00:02:04 31.94   0.26   0.12   2.023  8.94     4.1  15.8    NaN
07/04/18 00:02:05 31.91   0.26   0.12   2.038  8.85     4.1  15.8    NaN
07/04/18 00:02:06 31.87   0.26   0.12   2.066  8.78     4.1  15.8    NaN
07/04/18 00:02:07 31.84   0.26   0.12   2.080  8.72     4.1  15.8    NaN
07/04/18 00:02:08 31.85   0.26   0.12   2.099  8.68     4.2  15.8    NaN
07/04/18 00:02:09 31.89   0.26   0.12   2.119  8.64     4.2  15.7    NaN
07/04/18 00:02:10 31.87   0.26   0.12   2.140  8.58     4.2  15.7    NaN
07/04/18 00:02:11 31.86   0.26   0.12   2.161  8.55     4.2  15.7    NaN
07/04/18 00:02:12 31.73   0.26   0.12   2.175  8.52     4.2  15.7    NaN
07/04/18 00:02:13 31.66   0.26   0.12   2.196  8.48     4.3  15.7    NaN
07/04/18 00:02:14 31.67   0.26   0.12   2.213  8.45     4.3  15.7    NaN
07/04/18 00:02:15 31.60   0.25   0.12   2.235  8.40     4.3  15.7    NaN
07/04/18 00:02:16 31.53   0.25   0.12   2.255  8.37     4.3  15.7    NaN
07/04/18 00:02:17 31.48   0.25   0.12   2.274  8.33     4.3  15.7    NaN
07/04/18 00:02:18 31.41   0.25   0.12   2.299  8.29     4.3  15.8    NaN
07/04/18 00:02:19 31.33   0.25   0.12   2.319  8.27     4.3  15.8    NaN
07/04/18 00:02:20 31.25   0.26   0.12   2.336  8.24     4.2  15.8    NaN
07/04/18 00:02:21 31.16   0.26   0.12   2.351  8.22     4.2  15.8    NaN
07/04/18 00:02:22 31.09   0.26   0.12   2.374  8.19     4.2  15.7    NaN
07/04/18 00:02:23 31.03   0.26   0.12   2.389  8.17     4.1  15.6    NaN
07/04/18 00:02:24 30.99   0.26   0.12   2.410  8.15     4.1  15.6    NaN
07/04/18 00:02:25 30.90   0.26   0.12   2.429  8.12     4.0  15.4    NaN
07/04/18 00:02:26 30.83   0.26   0.12   2.448  8.10     4.0  15.3    NaN
07/04/18 00:02:27 30.76   0.26   0.12   2.470  8.07     3.9  15.2    NaN
07/04/18 00:02:28 30.70   0.26   0.12   2.490  8.05     3.9  15.0    NaN
07/04/18 00:02:29 30.64   0.26   0.12   2.509  8.03     3.8  14.9    NaN
07/04/18 00:02:30 30.57   0.26   0.12   2.524  8.01     3.8  14.8    NaN
07/04/18 00:02:31 30.52   0.26   0.12   2.548  7.98     3.7  14.6    NaN
07/04/18 00:02:32 30.46   0.26   0.12   2.562  7.96     3.7  14.5    NaN
07/04/18 00:02:33 30.43   0.26   0.12   2.581  7.94     3.7  14.4    NaN
07/04/18 00:02:34 30.44   0.26   0.12   2.602  7.92     3.7  14.3    NaN
07/04/18 00:02:35 30.41   0.26   0.12   2.623  7.90     3.7  14.3    NaN
07/04/18 00:02:36 30.38   0.26   0.12   2.638  7.89     3.7  14.2    NaN
