
Profile Time: 00:14:58
Profile Date: 12/06/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky      
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/06/18 00:16:10 10.38   0.12   0.06   1.067  7.79    17.7   3.5  10.22
12/06/18 00:16:11 10.34   0.12   0.06   1.084  7.79    17.7   3.6  10.23
12/06/18 00:16:12 10.31   0.12   0.06   1.104  7.79    17.8   3.8  10.24
12/06/18 00:16:13 10.31   0.12   0.06   1.124  7.79    17.8   4.0  10.24
12/06/18 00:16:14 10.31   0.12   0.06   1.143  7.79    17.8   4.2  10.24
12/06/18 00:16:15 10.32   0.12   0.06   1.162  7.79    17.8   4.4  10.23
12/06/18 00:16:16 10.32   0.12   0.06   1.184  7.79    17.9   4.7  10.23
12/06/18 00:16:17 10.33   0.12   0.06   1.201  7.79    17.9   5.0  10.23
12/06/18 00:16:18 10.33   0.12   0.06   1.218  7.79    18.0   5.3  10.22
12/06/18 00:16:19 10.34   0.12   0.06   1.239  7.79    18.1   5.6  10.21
12/06/18 00:16:20 10.34   0.12   0.06   1.257  7.79    18.1   5.9  10.20
12/06/18 00:16:21 10.34   0.12   0.06   1.275  7.79    18.2   6.1  10.19
12/06/18 00:16:22 10.34   0.12   0.06   1.297  7.79    18.2   6.3  10.19
12/06/18 00:16:23 10.34   0.12   0.06   1.313  7.79    18.3   6.4  10.19
12/06/18 00:16:24 10.35   0.12   0.06   1.331  7.79    18.3   6.4  10.18
12/06/18 00:16:25 10.37   0.12   0.06   1.352  7.78    18.3   6.4  10.17
12/06/18 00:16:26 10.38   0.12   0.06   1.373  7.79    18.3   6.3  10.17
12/06/18 00:16:27 10.40   0.12   0.06   1.391  7.79    18.4   6.1  10.15
12/06/18 00:16:28 10.42   0.12   0.06   1.412  7.78    18.3   5.8  10.14
12/06/18 00:16:29 10.42   0.12   0.06   1.431  7.78    18.3   5.5  10.13
12/06/18 00:16:30 10.43   0.12   0.06   1.449  7.78    18.3   5.2  10.12
12/06/18 00:16:31 10.43   0.12   0.06   1.470  7.78    18.3   4.9  10.12
12/06/18 00:16:32 10.42   0.12   0.06   1.490  7.78    18.3   4.5  10.12
12/06/18 00:16:33 10.42   0.12   0.06   1.509  7.78    18.3   4.3  10.11
12/06/18 00:16:34 10.40   0.12   0.06   1.531  7.79    18.2   4.0  10.11
12/06/18 00:16:35 10.40   0.12   0.06   1.549  7.79    18.2   3.8  10.11
12/06/18 00:16:36 10.41   0.12   0.06   1.569  7.79    18.2   3.8  10.10
12/06/18 00:16:37 10.42   0.12   0.06   1.585  7.79    18.2   3.7  10.10
