
Profile Time: 03:07:27
Profile Date: 03/30/2019
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/30/19 03:30:58 14.84   0.13   0.06   0.077  8.39    15.6  11.3  11.22
03/30/19 03:31:00 14.84   0.13   0.06   0.077  8.39    15.7  12.2  11.22
03/30/19 03:31:02 14.84   0.13   0.06   0.077  8.39    15.9  13.2  11.22
03/30/19 03:31:03 14.84   0.13   0.06   0.077  8.39    15.9  13.8  11.22
03/30/19 03:31:04 14.84   0.13   0.06   0.077  8.39    16.0  14.4  11.19

Profile Time: 04:00:32
Profile Date: 03/30/2019
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/30/19 04:00:40 14.87   0.12   0.06   0.063  8.45    16.0  13.2  11.24
03/30/19 04:00:34 14.87   0.12   0.06   0.064  8.45    15.9  14.8  11.22
03/30/19 04:00:35 14.86   0.12   0.06   0.064  8.45    15.9  14.5  11.23
03/30/19 04:00:36 14.86   0.12   0.06   0.064  8.45    15.9  14.2  11.23
03/30/19 04:00:37 14.87   0.12   0.06   0.064  8.45    15.9  13.9  11.24
03/30/19 04:00:38 14.87   0.12   0.06   0.064  8.45    16.0  13.6  11.25
03/30/19 04:00:39 14.87   0.12   0.06   0.064  8.45    16.0  13.4  11.25
03/30/19 04:00:41 14.87   0.12   0.06   0.064  8.45    16.0  13.0  11.23
03/30/19 04:00:42 14.87   0.12   0.06   0.064  8.45    16.1  12.8  11.23
03/30/19 04:00:43 14.87   0.12   0.06   0.064  8.46    16.1  12.7  11.24
03/30/19 04:00:44 14.87   0.12   0.06   0.064  8.46    16.1  12.5  11.24
03/30/19 04:00:45 14.87   0.12   0.06   0.064  8.46    16.2  12.3  11.23
03/30/19 04:00:46 14.87   0.12   0.06   0.064  8.46    16.2  12.1  11.25
03/30/19 04:00:47 14.87   0.12   0.06   0.064  8.46    16.3  11.9  11.24
03/30/19 04:00:48 14.87   0.12   0.06   0.064  8.46    16.3  11.6  11.24
03/30/19 04:00:50 14.87   0.12   0.06   0.069  8.46    16.4  11.1  11.25
03/30/19 04:00:52 14.87   0.12   0.06   0.069  8.46    16.5  10.6  11.25
03/30/19 04:01:00 14.88   0.12   0.06   0.069  8.46    16.3  11.6  11.23
03/30/19 04:01:01 14.88   0.12   0.06   0.069  8.46    16.2  12.3  11.24
03/30/19 04:01:02 14.88   0.12   0.06   0.069  8.46    16.2  13.0  11.26
03/30/19 04:01:04 14.88   0.12   0.06   0.069  8.46    16.0  14.6  11.29
03/30/19 04:00:49 14.87   0.12   0.06   0.070  8.46    16.3  11.4  11.24
03/30/19 04:00:51 14.87   0.12   0.06   0.070  8.46    16.4  10.8  11.26
03/30/19 04:00:53 14.87   0.12   0.06   0.070  8.46    16.5  10.4  11.26
03/30/19 04:00:54 14.87   0.12   0.06   0.070  8.46    16.5  10.2  11.26
03/30/19 04:00:55 14.88   0.12   0.06   0.070  8.46    16.5  10.2  11.25
03/30/19 04:00:56 14.88   0.12   0.06   0.070  8.46    16.5  10.2  11.25
03/30/19 04:00:57 14.88   0.12   0.06   0.070  8.46    16.4  10.4  11.26
03/30/19 04:00:58 14.88   0.12   0.06   0.070  8.46    16.4  10.7  11.23
03/30/19 04:00:59 14.88   0.12   0.06   0.070  8.46    16.3  11.1  11.23
03/30/19 04:01:03 14.88   0.12   0.06   0.070  8.46    16.1  13.8  11.28
03/30/19 04:01:05 14.88   0.12   0.06   0.070  8.46    16.0  15.5  11.27

Profile Time: 06:00:08
Profile Date: 03/30/2019
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/30/19 06:00:16 14.95   0.12   0.06   0.046  8.85    16.7  12.0  11.34
03/30/19 06:00:23 14.97   0.12   0.06   0.046  8.83    16.1  11.6  11.33
03/30/19 06:00:13 14.95   0.12   0.06   0.047  8.85    17.0  11.3  11.30
03/30/19 06:00:19 14.96   0.12   0.06   0.047  8.84    16.4  12.0  11.32
03/30/19 06:00:12 14.95   0.12   0.06   0.048  8.86    17.1  11.0  11.32
03/30/19 06:00:24 14.97   0.12   0.06   0.048  8.82    16.0  11.6  11.35
03/30/19 06:00:15 14.95   0.12   0.06   0.050  8.85    16.8  11.8  11.34
03/30/19 06:00:17 14.96   0.12   0.06   0.050  8.85    16.5  12.0  11.32
03/30/19 06:00:20 14.96   0.12   0.06   0.050  8.83    16.3  11.9  11.34
03/30/19 06:00:27 14.96   0.12   0.06   0.050  8.81    16.0  11.9  11.35
03/30/19 06:00:40 14.96   0.12   0.06   0.050  8.78    15.8  12.2  11.44
03/30/19 06:00:21 14.96   0.12   0.06   0.051  8.83    16.2  11.8  11.32
03/30/19 06:00:22 14.96   0.12   0.06   0.051  8.83    16.1  11.7  11.32
03/30/19 06:00:30 14.95   0.12   0.06   0.051  8.80    16.0  12.7  11.34
03/30/19 06:00:32 14.95   0.12   0.06   0.051  8.80    16.0  13.2  11.32
